songnumber,songid,albumid,albumname,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,track_id,artist_hotttnesss,artist_mbid,artist_playmeid,artist_7digitalid,release1,release_7digitalid,song_hotttnesss,track_7digitalid,analysis_sample_rate,audio_md5,end_of_fade_in,energy,key1,key_confidence,loudness,mode1,mode_confidence,start_of_fade_out
1,SOMZWCG12A8C13C480,300848,Fear Itself,ARD7TVE1187B99BFB1,0,California - LA,0,Casual,0,218.932,1,0.736,92.198,4,0.778,I Didn't Mean To,0,TRAAAAW128F429D538,0.401998,e77e51a5-4761-45b3-9847-2051f811e366,4479,165270,Fear Itself,300848,0.60211999,3401790,22050,a222795e07cd65b7a530f1346f520649,0.247,0,1,0.736,-11.197,0,0.636,218.932
2,SOCIWDW12A8C13D406,300822,Dimensions,ARMJAGH1187FB546F3,35.1497,Memphis TN,-90.0489,The Box Tops,0,148.035,6,0.169,121.274,4,0.384,Soul Deep,1969,TRAAABD128F429CF47,0.4175,1c78ab62-db33-4433-8d0b-7c8dcf1849c2,22066,1998,Dimensions,300822,nan,3400270,22050,bb9771eeef3d5b204a3c55e690f52a91,0.148,0,6,0.169,-9.843,0,0.43,137.915
3,SOXVLOJ12AB0189215,514953,Las Numero 1 De La Sonora Santanera,ARKRRTF1187B9984DA,0,,0,Sonora Santanera,0,177.475,8,0.643,100.07,1,0,Amor De Cabaret,0,TRAAADZ128F9348C2E,0.343428,7a273984-edd9-4451-9c4d-39b38f05ebcd,13951,290021,Las Numero 1 De La Sonora Santanera,514953,nan,5703800,22050,fa329738005ca53715d9f7381a0d1fe3,0.282,0,8,0.643,-9.689,1,0.565,172.304
4,SONHOTT12A8C13493C,287650,Friend Or Foe,AR7G5I41187FB4CE6C,0,London England,0,Adam Ant,0,233.404,0,0.751,119.293,4,0,Something Girls,1982,TRAAAEF128F4273421,0.454231,e188a520-9cb7-4f73-a3d7-2f70c6538e92,12697,19072,Friend Or Foe,287650,nan,3226800,22050,43cd1abd45d5a2dda16a3c65b4963bd4,0,0,0,0.751,-9.013,1,0.749,217.124
5,SOFSOCN12A8C143F5D,611336,Muertos Vivos,ARXR32B1187FB57099,0,,0,Gob,0,209.606,2,0.092,129.738,4,0.562,Face the Ashes,2007,TRAAAFD128F92F423A,0.401724,c6903a2e-063c-4f91-a284-17b8f421be7b,8355,30973,Muertos Vivos,611336,0.604500739,6795670,22050,580a8fe08ef0f1c7734b84547d7a8bc7,0.066,0,2,0.092,-4.501,1,0.371,198.699
9,SOIAZJW12AB01853F1,358182,Pink World,AR8ZCNI1187B9A069B,0,,0,Planet P Project,0,269.818,4,0.717,86.643,4,0.487,Pink World,1984,TRAAARJ128F9320760,0.332276,19d232b9-b4d7-4dc8-b259-bf65efb655b1,-1,276891,Pink World,358182,0.265861049,3996580,22050,eda960ea61211d980653d589e8e74c1d,5.3,0,4,0.717,-13.496,1,0.652,258.99
13,SOMUYGI12AB0188633,575792,Placer & Castigo,ARL7K851187B99ACD2,0,,0,Andy Andy,0,226.351,9,0.205,130.04,4,0,La Culpa,0,TRAABDL12903CAABBA,0.379482,572d6bb7-58cc-4a96-8e5c-58eae4739190,14303,88523,Placer & Castigo,575792,0,6381160,22050,8f298a84c01d4892d820ff54104b7df8,0,0,9,0.205,-6.632,1,0.305,221.553
16,SOHUOAP12A8AE488E9,135122,Outskirts,ARD842G1187B997376,43.6486,Toronto Ontario Canada,-79.3853,Blue Rodeo,0,491.128,7,1,119.826,4,0.756,Floating,1987,TRAABLR128F423B7E3,0.447935,6b52e1be-f27a-433c-b51a-3f2d63abc2ba,-1,3950,Outskirts,135122,0.405115722,1399940,22050,b2561c848c67cc8446b1433c6939addd,0,0,7,1,-8.576,1,0.829,486.034
17,SOUQQEA12A8C134B1B,149958,Cross Currents,ARIG6O41187B988BDD,37.1679,United States,-95.845,Richard Souther,0,228.597,8,0.041,127.756,5,0.579,High Tide,0,TRAABNV128F425CEE1,0.330806,9f6413ef-4320-4833-87be-3ad1d3bf238f,18135,24687,Cross Currents,149958,0.334706549,1560940,22050,0b9438d5b97d76022744eece3862605e,0.223,0,8,0.041,-16.11,1,0.516,217.426
19,SOXLBJT12A8C140925,372309,Gold,ARYKCQI1187FB3B18F,0,,0,Tesla,0,290.298,7,0.725,150.062,4,0.931,Caught In A Dream,2004,TRAABVM128F92CA9DC,0.513463,eeacb319-8d4c-48e0-80a0-944e71c375bf,7536,1396,Gold,372309,0.684136191,4143070,22050,3e57f1f9670a3aa3bd8901e6eee32149,0.145,0,7,0.725,-5.271,1,0.756,285.605
